faoID,simpleName,primary,faoName,faoGroupID,faoGroupName,canonicalName,definition
1274,oils boiled dehydrated etc.,FALSE,"Oils Boiled, Dehydrated, etc.",14,vegetable and animal oils and fats,NA,"Also includes oxidized and sulphurized oils. Animal and vegetable fats and oils whose chemical structure has been modified to improve viscosity, drying ability or other properties."
1275,hydrogenated oils and fats,FALSE,Hydrogenated Oils and Fats,14,vegetable and animal oils and fats,NA,Animal and vegetable fats and oils that have been hydrogenated to raise their melting point and increase their consistency by transforming unsaturated glycerides into saturated glycerides.
1276,fatty acids,FALSE,Fatty Acids,14,vegetable and animal oils and fats,NA,Manufactured by the saponification or hydrolysis of natural fats or oils. Including acid oils from refining.
1277,residues of fatty substances,FALSE,Residues of Fatty Substances,20,other livestock products,NA,Residues resulting from the tratment of fatty substances or animal or vegetable waxes.
1291,arabic gum,FALSE,Arabic gum,13,tobacco and rubber and other crops,NA,Latex exuded by some acacias.
1292,other resins,TRUE,Other resins,13,tobacco and rubber and other crops,Copaifera spp. | Astragalus spp. | Boswellia spp. | Commiphora spp. | Myroxilon balsamum | Myroxilon Pereira,"Including lac (resinous substance produced by an insect on several kinds of tropical trees), gums, gum-resins and balsams (vegetable secretions which may solidify on contact with air)."
1293,crude organic materials nes,FALSE,Crude Organic Materials nes,13,tobacco and rubber and other crops,NA,"This code covers products of two different groups: Group 13 - Tobacco, Rubber and Other Crops, and Group 20 - Other Livestock Products."
1294,seeds for planting,FALSE,Seeds for Planting,13,tobacco and rubber and other crops,NA,"Seeds, fruits and spores used for sowing. Excludes cereals, oilseeds, pulses and spices, even if intended for sowing."
1295,spermaceti,FALSE,Spermaceti,14,vegetable and animal oils and fats,NA,Waxy substance extracted from the fat of sperm whales and similar cetaceans.
1296,vegetable waxes,TRUE,Vegetable waxes,13,tobacco and rubber and other crops,Euphorbia antisyphilitica | Pedilanthus pavonis | Copernicia cerifera | Attalea excelsa | Ceroxylon andicolum,"Vegetable waxes, whether crude or refined, bleached or coloured. Excludes mixtures and chemically modified waxes."
1309,insecticides total (consumption),FALSE,"Insecticides, total (Consumption)",21,fertilizers,NA,No definition available.
1310,chlorinated hydrocarbons (consumption),FALSE,Chlorinated Hydrocarbons (Consumption),21,pesticides,NA,No definition available.
1311,organo-phosphates (consumption),FALSE,Organo-Phosphates (Consumption),21,pesticides,NA,No definition available.
1312,carbamates insecticides (consumption),FALSE,Carbamates insecticides (Consumption),21,pesticides,NA,No definition available.
1313,pyrethroids (consumption),FALSE,Pyrethroids (Consumption),21,pesticides,NA,No definition available.
1314,botanical products and biologicals (consumption),FALSE,Botanical products and biologicals (Consumption),21,pesticides,NA,No definition available.
1315,other insecticides (consumption),FALSE,Other Insecticides (Consumption),21,pesticides,NA,No definition available.
1316,mineral oils (consumption),FALSE,Mineral Oils (Consumption),21,pesticides,NA,No definition available.
1317,dithiocarbamates fungicides seed treatments (consumption),FALSE,Dithiocarbamates fungicides seed treatments (Consumption),21,pesticides,NA,No definition available.
1318,benzimidazoles fungicides seed treatments (consumption),FALSE,Benzimidazoles fungicides seed treatments (Consumption),21,pesticides,NA,No definition available.
1319,triazoles diazoles fungicides seed treatments (consumption),FALSE,"Triazoles, diazoles fungicides seed treatments (Consumption)",21,pesticides,NA,No definition available.
1320,herbicides total,FALSE,"Herbicides, total",21,fertilizers,NA,No definition available.
1321,phenoxy hormone products (consumption),FALSE,Phenoxy Hormone Products (Consumption),21,pesticides,NA,No definition available.
1322,triazines (consumption),FALSE,Triazines (Consumption),21,pesticides,NA,No definition available.
1323,amides (consumption),FALSE,Amides (Consumption),21,pesticides,NA,No definition available.
1324,carbamates herbicides (consumption),FALSE,Carbamates herbicides (Consumption),21,pesticides,NA,No definition available.
1325,dinitroanilines (consumption),FALSE,Dinitroanilines (Consumption),21,pesticides,NA,No definition available.
1326,urea derivates (consumption),FALSE,Urea derivates (Consumption),21,pesticides,NA,No definition available.
1327,other herbicides (consumption),FALSE,Other Herbicides (Consumption),21,pesticides,NA,No definition available.
1328,sulfonyl ureas (consumption),FALSE,Sulfonyl Ureas (Consumption),21,pesticides,NA,No definition available.
1329,bipiridils (consumption),FALSE,Bipiridils (Consumption),21,pesticides,NA,No definition available.
1330,uracil (consumption),FALSE,Uracil (Consumption),21,pesticides,NA,No definition available.
1331,fungicides and bactericides total,FALSE,"Fungicides and bactericides, total",21,fertilizers,NA,No definition available.
1332,inorganics (consumption),FALSE,Inorganics (Consumption),21,pesticides,NA,No definition available.
1333,dithiocarbamates (consumption),FALSE,Dithiocarbamates (Consumption),21,pesticides,NA,No definition available.
1334,benzimidazoles (consumption),FALSE,Benzimidazoles (Consumption),21,pesticides,NA,No definition available.
1335,triazoles diazoles (consumption),FALSE,"Triazoles, Diazoles (Consumption)",21,pesticides,NA,No definition available.
1336,diazines morpholines (consumption),FALSE,"Diazines, Morpholines (Consumption)",21,pesticides,NA,No definition available.
1337,other fungicides (consumption),FALSE,Other Fungicides (Consumption),21,pesticides,NA,No definition available.
1338,botanical products and biologicals fungicides seed treatments (consumption),FALSE,"Botanical products and biologicals, fungicides seed treatments (Consumption)",21,pesticides,NA,No definition available.
1339,others fungicides seed treatments (consumption),FALSE,"Others, fungicides seed treatments (Consumption)",21,pesticides,NA,No definition available.
1340,organo-phospates insecticides seed treatments (consumption),FALSE,Organo-phospates insecticides seed treatments (Consumption),21,pesticides,NA,No definition available.
1341,plant growth regulators (consumption),FALSE,Plant Growth Regulators (Consumption),21,pesticides,NA,No definition available.
1342,carbamates insecticides seed treatments (consumption),FALSE,Carbamates insecticides seed treatments (Consumption),21,pesticides,NA,No definition available.
1343,pyrethroids insecticides seed treatments (consumption),FALSE,Pyrethroids insecticides seed treatments (Consumption),21,pesticides,NA,No definition available.
1344,others insecticides seed treatments (consumption),FALSE,"Others, insecticides seed treatments (Consumption)",21,pesticides,NA,No definition available.
1345,rodenticides total (consumption),FALSE,"Rodenticides, total (Consumption)",21,fertilizers,NA,No definition available.
1346,anticoagulants (consumption),FALSE,Anticoagulants (Consumption),21,pesticides,NA,No definition available.
1347,other rodenticides (consumption),FALSE,Other rodenticides (Consumption),21,pesticides,NA,No definition available.
1348,cyanide generators (consumption),FALSE,Cyanide generators (Consumption),21,pesticides,NA,No definition available.
