origin,target,source,date,cenID
Akrotiri and Dhekelia,ignore,,2019-05-15,1
Caspian Sea,ignore,,2019-05-15,1
Clipperton Island,ignore,,2019-05-15,1
Palestina,palestine,,2019-05-15,1
Paracel Islands,ignore,,2019-05-15,1
Reunion,réunion,,2019-05-15,1
Saint-Martin,saint martin,,2019-05-15,1
Spratly Islands,ignore,,2019-05-15,1
Swaziland,eswatini,,2019-05-15,1
United States,united states of america,,2019-05-15,1
Vatican City,ignore,,2019-05-15,1
"Virgin Islands, U.S.",ignore,,2019-05-15,1
